"Time differences (ps)"	"Counts per bin"
-2000	0
-1980	1
-1960	0
-1940	0
-1920	1
-1900	0
-1880	0
-1860	0
-1840	0
-1820	0
-1800	0
-1780	0
-1760	1
-1740	0
-1720	0
-1700	1
-1680	0
-1660	0
-1640	0
-1620	0
-1600	0
-1580	0
-1560	1
-1540	0
-1520	0
-1500	0
-1480	0
-1460	0
-1440	0
-1420	0
-1400	1
-1380	1
-1360	0
-1340	1
-1320	0
-1300	0
-1280	0
-1260	0
-1240	0
-1220	0
-1200	0
-1180	0
-1160	0
-1140	0
-1120	0
-1100	0
-1080	0
-1060	1
-1040	0
-1020	1
-1000	1
-980	0
-960	0
-940	0
-920	0
-900	0
-880	2
-860	0
-840	0
-820	0
-800	0
-780	0
-760	0
-740	0
-720	0
-700	0
-680	0
-660	0
-640	0
-620	1
-600	0
-580	0
-560	1
-540	1
-520	0
-500	0
-480	0
-460	0
-440	0
-420	0
-400	1
-380	0
-360	1
-340	0
-320	1
-300	0
-280	0
-260	0
-240	0
-220	0
-200	0
-180	0
-160	0
-140	0
-120	0
-100	0
-80	3
-60	4
-40	23
-20	83
0	72
20	25
40	6
60	2
80	1
100	0
120	0
140	0
160	0
180	0
200	0
220	0
240	0
260	0
280	0
300	1
320	0
340	0
360	0
380	0
400	0
420	0
440	0
460	0
480	0
500	0
520	0
540	0
560	2
580	0
600	1
620	0
640	1
660	0
680	0
700	0
720	0
740	0
760	0
780	0
800	0
820	1
840	0
860	1
880	0
900	2
920	0
940	0
960	0
980	0
1000	0
1020	1
1040	0
1060	1
1080	0
1100	0
1120	0
1140	1
1160	0
1180	0
1200	0
1220	0
1240	0
1260	0
1280	0
1300	0
1320	0
1340	0
1360	0
1380	1
1400	1
1420	0
1440	0
1460	0
1480	0
1500	0
1520	0
1540	0
1560	1
1580	0
1600	0
1620	0
1640	1
1660	1
1680	0
1700	0
1720	0
1740	0
1760	1
1780	0
1800	0
1820	0
1840	1
1860	2
1880	0
1900	0
1920	0
1940	0
1960	0
1980	0
